Element,Missed Instructions,Cov.,Missed Branches,Cov.,Missed,Cxty,Missed,Lines,Missed,Methods,Missed,Classes
Total,"7,392 of 54,672",86%,"1,155 of 6,189",81%,"1,482","7,278","1,639","13,162",553,"4,155",7,474
org.apache.commons.collections4.map,,88%,,78%,364,"1,716",289,"3,194",78,902,2,105
org.apache.commons.collections4.trie,,77%,,71%,159,509,202,928,34,211,1,24
org.apache.commons.collections4,,88%,,86%,197,"1,081",189,"1,641",95,619,0,58
org.apache.commons.collections4.iterators,,84%,,86%,124,608,180,"1,149",71,365,3,46
org.apache.commons.collections4.bidimap,,90%,,88%,86,577,105,"1,171",37,338,0,36
org.apache.commons.collections4.multimap,,77%,,67%,81,291,121,506,43,206,0,25
org.apache.commons.collections4.multiset,,72%,,60%,68,219,117,418,31,138,0,18
org.apache.commons.collections4.functors,,85%,,85%,99,455,104,761,48,265,0,56
org.apache.commons.collections4.list,,93%,,89%,72,568,85,"1,218",25,338,0,26
org.apache.commons.collections4.bag,,87%,,87%,41,255,55,484,21,165,0,18
org.apache.commons.collections4.set,,88%,,87%,42,285,51,465,26,208,0,17
org.apache.commons.collections4.comparators,,82%,,69%,60,159,35,228,12,68,0,9
org.apache.commons.collections4.collection,,89%,,87%,30,212,45,405,11,135,0,9
org.apache.commons.collections4.queue,,91%,,93%,14,113,21,211,9,76,0,7
org.apache.commons.collections4.sequence,,90%,,92%,10,73,19,141,5,29,1,8
org.apache.commons.collections4.splitmap,,77%,,58%,10,33,12,53,5,27,0,2
org.apache.commons.collections4.keyvalue,,97%,,84%,14,96,5,141,1,55,0,8
org.apache.commons.collections4.trie.analyzer,,92%,,71%,11,25,4,40,1,8,0,1
org.apache.commons.collections4.properties,,100%,,100%,0,3,0,8,0,2,0,1
