Element,Missed Instructions,Cov.,Missed Branches,Cov.,Missed,Cxty,Missed,Lines,Missed,Methods,Missed,Classes
Total,"8,931 of 89,534",90%,"776 of 4,001",80%,894,"5,067","2,247","18,778",236,"3,064",2,326
org.apache.commons.io,,90%,,83%,349,"2,185","1,071","8,949",85,"1,296",0,95
org.apache.commons.io.input,,92%,,85%,179,"1,208",404,"4,169",66,737,0,82
org.apache.commons.io.filefilter,,90%,,81%,81,480,211,"1,952",9,279,1,32
org.apache.commons.io.output,,88%,,78%,74,528,274,"1,892",31,410,0,62
org.apache.commons.io.input.buffer,,38%,,36%,57,81,84,169,14,28,1,4
org.apache.commons.io.input.compatibility,,66%,,61%,65,142,111,278,12,34,0,4
org.apache.commons.io.comparator,,90%,,67%,41,141,11,354,0,77,0,19
org.apache.commons.io.monitor,,94%,,84%,30,170,40,653,13,104,0,9
org.apache.commons.io.testtools,,82%,,70%,13,45,19,115,2,25,0,5
org.apache.commons.io.serialization,,95%,,96%,5,87,22,247,4,74,0,14
