Element,Missed Instructions,Cov.,Missed Branches,Cov.,Missed,Cxty,Missed,Lines,Missed,Methods,Missed,Classes
Total,"92,493 of 205,904",55%,"11,412 of 21,286",46%,"10,483","18,856","21,604","51,378","3,036","8,191",94,548
org.jfree.chart.renderer.xy,,35%,,29%,"1,233","1,796","3,129","5,352",202,582,7,42
org.jfree.chart.plot,,68%,,56%,"1,698","3,511","3,062","9,924",444,"1,468",2,41
org.jfree.chart.axis,,56%,,43%,"1,048","1,871","2,244","5,392",236,745,3,44
org.jfree.chart.renderer.category,,52%,,36%,819,"1,225","1,652","3,687",102,376,1,25
org.jfree.chart,,49%,,36%,729,"1,114","1,707","3,417",262,513,8,22
org.jfree.chart.util,,43%,,41%,406,631,834,"1,608",111,237,5,30
org.jfree.data.time,,63%,,49%,478,989,884,"2,488",153,499,3,26
org.jfree.chart.editor,,0%,,0%,215,215,837,837,106,106,10,10
org.jfree.chart.ui,,32%,,33%,224,321,497,720,82,152,11,22
org.jfree.data.xy,,72%,,66%,403,972,599,"2,147",181,557,3,40
org.jfree.chart.annotations,,56%,,52%,215,433,565,"1,395",86,233,2,16
org.jfree.chart.title,,52%,,39%,260,458,496,"1,199",75,208,1,10
org.jfree.chart.renderer,,59%,,51%,308,601,526,"1,449",93,280,3,13
org.jfree.chart.plot.dial,,57%,,61%,229,455,551,"1,357",141,290,0,14
org.jfree.chart.labels,,54%,,46%,195,382,396,976,66,203,1,26
org.jfree.chart.block,,70%,,61%,201,464,363,"1,236",63,205,0,16
org.jfree.data.statistics,,72%,,62%,254,556,339,"1,371",66,237,0,14
org.jfree.data.general,,73%,,68%,229,539,354,"1,312",60,182,2,16
org.jfree.chart.needle,,24%,,34%,96,144,268,392,31,70,0,10
org.jfree.chart.entity,,35%,,30%,135,196,268,436,72,119,1,13
org.jfree.chart.panel,,11%,,4%,93,102,233,267,17,25,0,2
org.jfree.data,,81%,,75%,144,465,211,"1,095",40,200,2,18
org.jfree.data.jdbc,,0%,,0%,84,84,245,245,31,31,3,3
org.jfree.data.gantt,,57%,,58%,99,209,155,462,53,125,0,5
org.jfree.data.xml,,0%,,0%,75,75,213,213,47,47,8,8
org.jfree.chart.text,,76%,,53%,142,248,158,647,30,100,0,8
org.jfree.data.json.impl,,0%,,0%,78,78,185,185,19,19,3,3
org.jfree.chart.date,,53%,,29%,95,128,134,230,35,54,0,2
org.jfree.data.category,,80%,,66%,81,203,75,400,12,88,0,4
org.jfree.chart.encoders,,0%,,0%,34,34,90,90,31,31,4,4
org.jfree.chart.urls,,78%,,65%,60,129,69,325,15,55,2,9
org.jfree.data.json,,0%,,0%,15,15,70,70,5,5,1,1
org.jfree.data.time.ohlc,,64%,,66%,33,73,50,155,19,48,0,4
org.jfree.data.io,,0%,,0%,16,16,57,57,6,6,1,1
org.jfree.data.resources,,17%,,n/a,15,18,15,18,15,18,5,6
org.jfree.chart.imagemap,,50%,,65%,15,34,39,81,9,17,1,5
org.jfree.data.function,,76%,,58%,12,36,15,77,3,24,0,4
org.jfree.chart.resources,,0%,,n/a,3,3,3,3,3,3,1,1
org.jfree.chart.event,,74%,,n/a,14,33,16,63,14,33,0,10
