Element,Missed Instructions,Cov.,Missed Branches,Cov.,Missed,Cxty,Missed,Lines,Missed,Methods,Missed,Classes
Total,"212,222 of 237,559",11%,"21,460 of 22,777",6%,"19,348","20,431","50,489","54,347","8,199","8,878",782,905
org.jivesoftware.openfire.pubsub,,0%,,0%,"1,528","1,528","4,366","4,366",490,490,31,31
org.jivesoftware.openfire.muc.spi,,1%,,1%,"1,495","1,503","4,106","4,117",436,439,23,25
org.jivesoftware.util,,50%,,26%,"1,805","2,405","4,120","6,107",620,"1,004",43,87
org.jivesoftware.openfire.net,,4%,,6%,"1,013","1,042","2,627","2,766",410,420,48,52
org.jivesoftware.openfire,,2%,,1%,975,992,"2,489","2,524",395,405,45,50
org.jivesoftware.openfire.spi,,1%,,0%,704,709,"1,847","1,865",301,306,26,27
org.jivesoftware.openfire.container,,0%,,0%,657,658,"1,596","1,600",291,292,31,32
org.jivesoftware.openfire.http,,0%,,0%,615,615,"1,513","1,513",278,278,31,31
org.jivesoftware.database,,6%,,3%,857,877,"1,785","1,881",538,557,18,23
org.jivesoftware.openfire.handler,,2%,,0%,489,497,"1,543","1,564",145,153,19,21
org.jivesoftware.openfire.ldap,,11%,,7%,538,557,"1,380","1,569",156,164,8,11
org.jivesoftware.openfire.group,,2%,,2%,504,512,"1,443","1,464",252,260,22,23
org.jivesoftware.openfire.roster,,0%,,0%,475,475,"1,295","1,295",152,152,10,10
org.jivesoftware.openfire.session,,0%,,0%,464,464,"1,306","1,306",194,194,18,18
org.jivesoftware.admin,,15%,,11%,504,560,"1,125","1,318",174,204,17,24
org.jivesoftware.openfire.user,,8%,,6%,386,409,"1,084","1,190",181,198,17,23
org.jivesoftware.openfire.auth,,11%,,6%,366,398,983,"1,104",144,165,16,23
org.jivesoftware.openfire.keystore,,16%,,16%,291,330,731,878,79,92,8,10
org.jivesoftware.openfire.server,,0%,,0%,192,192,770,770,81,81,12,12
org.jivesoftware.openfire.muc,,6%,,0%,371,383,862,886,203,215,24,28
