Number of Classes,Line Coverage,Mutation Coverage
264,46% 6075/13163,42% 3479/8284
Name,Number of Classes,Line Coverage,Mutation Coverage
org.apache.commons.collections4,21,88% 1454/1659,83% 999/1209
org.apache.commons.collections4.bag,15,60% 291/482,49% 140/286
org.apache.commons.collections4.bidimap,11,3% 35/1173,2% 11/682
org.apache.commons.collections4.collection,8,86% 348/405,81% 157/195
org.apache.commons.collections4.comparators,7,81% 183/226,60% 106/178
org.apache.commons.collections4.functors,52,85% 650/761,82% 357/437
org.apache.commons.collections4.iterators,43,84% 961/1143,86% 532/620
org.apache.commons.collections4.keyvalue,6,92% 118/128,86% 76/88
org.apache.commons.collections4.list,13,22% 266/1218,16% 128/801
org.apache.commons.collections4.map,36,30% 972/3197,25% 491/1984
org.apache.commons.collections4.multimap,8,11% 56/506,7% 21/283
org.apache.commons.collections4.multiset,7,18% 74/418,11% 28/245
org.apache.commons.collections4.properties,1,100% 8/8,100% 2/2
org.apache.commons.collections4.queue,6,81% 173/213,80% 102/127
org.apache.commons.collections4.sequence,7,87% 122/141,90% 149/165
org.apache.commons.collections4.set,16,62% 291/466,58% 153/265
org.apache.commons.collections4.splitmap,2,77% 41/53,69% 22/32
org.apache.commons.collections4.trie,4,3% 31/926,1% 5/629
org.apache.commons.collections4.trie.analyzer,1,3% 1/40,0% 0/56
