Number of Classes,Line Coverage,Mutation Coverage
481,58% 29615/51187,33% 11250/33907
Name,Number of Classes,Line Coverage,Mutation Coverage
org.jfree.chart,18,50% 1714/3409,22% 447/2015
org.jfree.chart.annotations,16,59% 830/1395,30% 288/956
org.jfree.chart.axis,37,58% 3130/5371,27% 1020/3780
org.jfree.chart.block,15,71% 869/1232,46% 344/746
org.jfree.chart.date,2,42% 96/230,34% 82/240
org.jfree.chart.editor,10,0% 0/837,0% 0/380
org.jfree.chart.encoders,4,0% 0/90,0% 0/40
org.jfree.chart.entity,12,38% 166/434,25% 61/245
org.jfree.chart.event,8,72% 41/57,15% 2/13
org.jfree.chart.imagemap,5,52% 42/81,53% 20/38
org.jfree.chart.labels,25,58% 554/950,47% 197/417
org.jfree.chart.needle,10,32% 124/392,21% 68/320
org.jfree.chart.panel,2,13% 34/267,6% 9/161
org.jfree.chart.plot,34,69% 6835/9895,32% 2038/6409
org.jfree.chart.plot.dial,12,59% 806/1357,32% 296/934
org.jfree.chart.renderer,10,64% 919/1443,49% 473/973
org.jfree.chart.renderer.category,21,55% 2036/3685,18% 454/2502
org.jfree.chart.renderer.xy,31,41% 2214/5335,20% 718/3565
org.jfree.chart.resources,1,0% 0/3,0% 0/1
org.jfree.chart.text,7,75% 479/637,23% 96/426
org.jfree.chart.title,10,59% 703/1199,29% 216/745
org.jfree.chart.ui,16,29% 203/701,11% 62/564
org.jfree.chart.urls,9,79% 256/325,61% 109/180
org.jfree.chart.util,26,48% 761/1595,36% 448/1236
org.jfree.data,14,80% 871/1082,67% 519/776
org.jfree.data.category,4,81% 325/400,73% 223/307
org.jfree.data.function,4,81% 62/77,52% 31/60
org.jfree.data.gantt,5,66% 307/462,47% 139/295
org.jfree.data.general,12,73% 952/1306,62% 571/923
org.jfree.data.io,1,0% 0/57,0% 0/30
org.jfree.data.jdbc,3,0% 0/245,0% 0/113
org.jfree.data.json,1,0% 0/70,0% 0/40
org.jfree.data.json.impl,3,0% 0/185,0% 0/120
org.jfree.data.resources,6,17% 3/18,17% 1/6
org.jfree.data.statistics,13,75% 1032/1367,57% 592/1038
org.jfree.data.time,23,64% 1598/2483,50% 846/1680
org.jfree.data.time.ohlc,4,68% 105/155,50% 48/96
org.jfree.data.xml,8,0% 0/213,0% 0/72
org.jfree.data.xy,39,72% 1548/2147,57% 832/1465
