Number of Classes,Line Coverage,Mutation Coverage
542,7% 3757/53964,7% 1861/26390
Name,Number of Classes,Line Coverage,Mutation Coverage
org.apache.mina.management,1,0% 0/151,0% 0/64
org.dom4j.io,1,0% 0/132,0% 0/74
org.eclipse.jetty.util,1,0% 0/105,0% 0/34
org.jivesoftware.admin,15,15% 193/1319,11% 67/627
org.jivesoftware.admin.servlet,2,0% 0/236,0% 0/140
org.jivesoftware.database,13,6% 110/1871,1% 12/1059
org.jivesoftware.database.bugfix,2,0% 0/312,0% 0/165
org.jivesoftware.openfire,20,1% 35/2476,1% 17/1246
org.jivesoftware.openfire.admin,3,4% 8/215,0% 0/86
org.jivesoftware.openfire.archive,4,38% 48/127,28% 14/50
org.jivesoftware.openfire.audit,3,0% 0/33,0% 0/11
org.jivesoftware.openfire.audit.spi,2,0% 0/343,0% 0/175
org.jivesoftware.openfire.auth,14,11% 114/1054,6% 24/406
org.jivesoftware.openfire.carbons,2,100% 6/6,100% 2/2
org.jivesoftware.openfire.cluster,4,30% 85/279,14% 15/110
org.jivesoftware.openfire.commands,4,0% 0/274,0% 0/153
org.jivesoftware.openfire.commands.admin,9,0% 0/393,0% 0/249
org.jivesoftware.openfire.commands.admin.group,7,0% 0/491,0% 0/268
org.jivesoftware.openfire.commands.admin.muc,1,0% 0/83,0% 0/47
org.jivesoftware.openfire.commands.admin.user,5,0% 0/286,0% 0/165
org.jivesoftware.openfire.commands.event,13,0% 0/643,0% 0/361
org.jivesoftware.openfire.component,7,0% 0/577,0% 0/226
org.jivesoftware.openfire.container,16,0% 4/1601,0% 0/716
org.jivesoftware.openfire.crowd,7,0% 0/617,0% 0/235
org.jivesoftware.openfire.crowd.jaxb,1,0% 0/4,0% 0/2
org.jivesoftware.openfire.disco,4,0% 0/549,0% 0/240
org.jivesoftware.openfire.entitycaps,2,44% 96/216,29% 22/77
org.jivesoftware.openfire.event,3,15% 12/81,6% 1/18
org.jivesoftware.openfire.filetransfer,3,0% 0/157,0% 0/62
org.jivesoftware.openfire.filetransfer.proxy,4,0% 0/382,0% 0/169
org.jivesoftware.openfire.forms.spi,2,0% 0/212,0% 0/88
org.jivesoftware.openfire.forward,1,50% 14/28,64% 7/11
org.jivesoftware.openfire.group,10,1% 21/1454,3% 16/602
org.jivesoftware.openfire.handler,19,1% 21/1563,1% 10/779
org.jivesoftware.openfire.http,12,1% 21/1501,1% 5/717
org.jivesoftware.openfire.interceptor,3,0% 0/198,0% 0/91
org.jivesoftware.openfire.keystore,8,17% 147/869,13% 43/343
org.jivesoftware.openfire.ldap,7,12% 190/1571,2% 11/662
org.jivesoftware.openfire.lockout,4,0% 0/198,0% 0/83
org.jivesoftware.openfire.mediaproxy,7,0% 0/516,0% 0/211
org.jivesoftware.openfire.muc,16,2% 17/880,0% 0/397
org.jivesoftware.openfire.muc.cluster,26,0% 0/607,0% 0/217
org.jivesoftware.openfire.muc.spi,15,0% 8/4117,1% 11/2089
org.jivesoftware.openfire.multiplex,5,0% 0/326,0% 0/144
org.jivesoftware.openfire.net,32,3% 70/2770,2% 21/1282
org.jivesoftware.openfire.nio,10,5% 27/531,9% 25/274
org.jivesoftware.openfire.pep,4,0% 0/524,0% 0/242
org.jivesoftware.openfire.privacy,4,0% 0/456,0% 0/215
org.jivesoftware.openfire.pubsub,13,0% 0/4345,0% 0/2403
org.jivesoftware.openfire.pubsub.cluster,10,0% 0/152,0% 0/54
org.jivesoftware.openfire.pubsub.models,10,0% 0/144,0% 0/89
org.jivesoftware.openfire.resultsetmanager,2,0% 0/155,0% 0/110
org.jivesoftware.openfire.roster,5,0% 0/1298,0% 0/551
org.jivesoftware.openfire.sasl,10,0% 0/442,0% 0/181
org.jivesoftware.openfire.security,3,5% 8/161,0% 0/68
org.jivesoftware.openfire.server,5,0% 0/763,0% 0/299
org.jivesoftware.openfire.session,12,0% 0/1275,0% 0/622
org.jivesoftware.openfire.spi,17,1% 18/1869,1% 8/861
org.jivesoftware.openfire.stanzaid,1,79% 31/39,63% 15/24
org.jivesoftware.openfire.stats,2,0% 0/38,0% 0/14
org.jivesoftware.openfire.streammanagement,1,0% 0/241,0% 0/113
org.jivesoftware.openfire.transport,1,0% 0/27,0% 0/8
org.jivesoftware.openfire.update,5,0% 0/489,0% 0/179
org.jivesoftware.openfire.user,14,9% 108/1184,5% 23/500
org.jivesoftware.openfire.user.property,4,1% 2/234,0% 0/78
org.jivesoftware.openfire.vcard,4,0% 0/272,0% 0/92
org.jivesoftware.openfire.webdav,1,0% 0/145,0% 0/74
org.jivesoftware.openfire.websocket,5,0% 0/288,0% 0/141
org.jivesoftware.util,47,33% 2008/6069,38% 1442/3821
org.jivesoftware.util.cache,9,32% 288/906,9% 35/387
org.jivesoftware.util.cert,2,57% 47/82,45% 15/33
org.jivesoftware.util.log.util,1,0% 0/12,0% 0/4
