GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.Constants,3,668,0,0,1,21,1,1,1,1
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},5,121,2,10,2,21,2,6,0,2
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},14,167,5,17,5,20,5,8,0,2
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},51,84,14,12,13,20,12,7,0,3
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},14,228,4,21,4,37,3,14,0,4
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},17,218,4,20,7,37,4,12,0,4
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},23,118,4,20,9,30,4,12,0,4
jsoup Java HTML Parser,org.jsoup.parser,Token.Doctype,0,63,0,0,0,19,0,7,0,7
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},118,173,30,27,27,38,23,13,0,3
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},119,6,10,0,11,1,6,1,1,1
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},10,71,2,16,4,16,2,9,0,2
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},71,85,25,15,15,18,21,4,0,2
jsoup Java HTML Parser,org.jsoup.parser,Token.TokenType,5,73,0,0,0,7,1,3,1,3
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},26,56,6,14,6,12,6,6,0,2
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},0,50,2,10,0,10,2,6,0,2
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},35,24,11,5,6,5,8,2,0,2
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new HtmlTreeBuilderState() {...},2,6,0,0,1,1,1,1,1,1
jsoup Java HTML Parser,org.jsoup.parser,Parser,24,199,3,5,6,37,6,18,4,16
jsoup Java HTML Parser,org.jsoup.parser,XmlTreeBuilder.new Object() {...},6,41,0,0,0,1,0,1,0,1
jsoup Java HTML Parser,org.jsoup.parser,Token.EndTag,12,6,0,0,1,3,1,1,1,1
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState.new Object() {...},6,41,0,0,0,1,0,1,0,1
jsoup Java HTML Parser,org.jsoup.parser,HtmlTreeBuilderState,9,285,0,2,0,40,2,7,2,6
