GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Core XMPP Server,org.jivesoftware.admin,PluginFilter.FilterChainInjector,67,0,6,0,14,0,6,0,3,0
Core XMPP Server,org.jivesoftware.admin,AdminConsole.ElementByOrderAttributeComparator,7,33,0,4,3,4,0,4,0,2
Core XMPP Server,org.jivesoftware.admin,AdminPageBean,60,0,6,0,22,0,14,0,11,0
Core XMPP Server,org.jivesoftware.admin,LoginLimitManager.PerUsernameTask,5,6,0,0,2,1,1,1,1,1
Core XMPP Server,org.jivesoftware.admin,TabsTag,260,0,28,0,57,0,26,0,12,0
Core XMPP Server,org.jivesoftware.admin,LdapGroupTester,211,0,14,0,51,0,10,0,3,0
Core XMPP Server,org.jivesoftware.admin,SubSidebarTag,37,0,2,0,11,0,6,0,5,0
Core XMPP Server,org.jivesoftware.admin,AdminConsole,443,279,70,24,109,78,48,18,7,12
Core XMPP Server,org.jivesoftware.admin,LdapUserTester,849,0,130,0,127,0,70,0,5,0
Core XMPP Server,org.jivesoftware.admin,SidebarTag,483,0,56,0,115,0,40,0,12,0
Core XMPP Server,org.jivesoftware.admin,LoginLimitManager.PerIPAddressTask,5,6,0,0,2,1,1,1,1,1
Core XMPP Server,org.jivesoftware.admin,LdapUserTester.PropertyMapping,37,0,2,0,9,0,4,0,3,0
Core XMPP Server,org.jivesoftware.admin,LoginLimitManager,43,226,8,8,8,36,7,8,3,4
Core XMPP Server,org.jivesoftware.admin,ASN1DERTag,238,0,37,0,44,0,26,0,7,0
Core XMPP Server,org.jivesoftware.admin,AdminPageBean.Breadcrumb,22,0,2,0,8,0,4,0,3,0
Core XMPP Server,org.jivesoftware.admin,AdminConsole.new VisitorSupport() {...},0,14,0,0,0,4,0,2,0,2
Core XMPP Server,org.jivesoftware.admin,LdapUserProfile,1371,0,172,0,351,0,146,0,60,0
Core XMPP Server,org.jivesoftware.admin,JSTLFunctions,57,0,0,0,11,0,7,0,7,0
Core XMPP Server,org.jivesoftware.admin,SiteMinderServletRequestAuthenticator,20,0,4,0,6,0,5,0,3,0
Core XMPP Server,org.jivesoftware.admin,LdapGroupTester.Group,21,0,0,0,8,0,4,0,4,0
Core XMPP Server,org.jivesoftware.admin,SubnavTag,274,0,34,0,66,0,25,0,8,0
Core XMPP Server,org.jivesoftware.admin,LoginLimitManager.LoginLimitManagerContainer,9,0,0,0,2,0,2,0,2,0
Core XMPP Server,org.jivesoftware.admin,PluginFilter,275,0,46,0,70,0,32,0,9,0
Core XMPP Server,org.jivesoftware.admin,AuthCheckFilter,110,297,18,40,29,69,20,22,5,8
Core XMPP Server,org.jivesoftware.openfire.interceptor,PacketCopier.InterceptedPacket,37,0,0,0,12,0,6,0,6,0
Core XMPP Server,org.jivesoftware.openfire.interceptor,InterceptorManager,308,0,48,0,73,0,36,0,12,0
Core XMPP Server,org.jivesoftware.openfire.interceptor,PacketCopier.Subscription,33,0,0,0,12,0,6,0,6,0
Core XMPP Server,org.jivesoftware.openfire.interceptor,PacketCopier.ProcessPacketsTask,17,0,0,0,6,0,2,0,2,0
Core XMPP Server,org.jivesoftware.openfire.interceptor,PacketRejectedException,70,0,6,0,26,0,12,0,9,0
Core XMPP Server,org.jivesoftware.openfire.interceptor,PacketCopier,293,0,44,0,68,0,32,0,10,0
Core XMPP Server,org.jivesoftware.openfire.spi,MINAConnectionAcceptor,511,0,43,0,103,0,32,0,9,0
Core XMPP Server,org.jivesoftware.openfire.spi,EncryptionArtifactFactory,464,65,26,0,100,18,26,5,11,5
Core XMPP Server,org.jivesoftware.openfire.spi,ConnectionType,102,0,0,0,13,0,6,0,6,0
Core XMPP Server,org.jivesoftware.openfire.spi,XMPPServerInfoImpl,71,0,8,0,19,0,11,0,7,0
Core XMPP Server,org.jivesoftware.openfire.spi,ConnectionManagerImpl.new Object() {...},47,0,0,0,1,0,1,0,1,0
Core XMPP Server,org.jivesoftware.openfire.spi,ConnectionManagerImpl.new PluginManagerListener() {...},17,0,0,0,5,0,2,0,2,0
Core XMPP Server,org.jivesoftware.openfire.spi,MINAConnectionAcceptor.new IoServiceListener() {...},78,0,0,0,18,0,8,0,8,0
Core XMPP Server,org.jivesoftware.openfire.spi,MINAConnectionAcceptor.new Object() {...},33,0,0,0,1,0,1,0,1,0
Core XMPP Server,org.jivesoftware.openfire.spi,ConnectionAcceptor,13,0,2,0,5,0,2,0,1,0
Core XMPP Server,org.jivesoftware.openfire.spi,RoutingTableImpl,2284,0,306,0,490,0,203,0,50,0
